date,lambda_t,lambda_w,E_Rw,mean_K,whale_threshold
2025-01-05,8.175261929788087e-05,1.9286231983284236e-06,0.21325903808000155,3.125,0.23992461791999845
2025-01-06,8.237932623045458e-05,1.92817397682412e-06,0.2148500877500003,3.125,0.2383335682499997
2025-01-07,8.315308522292866e-05,1.92874892857997e-06,0.21466755265000081,3.125,0.23851610334999918
2025-01-08,8.198268221123079e-05,1.92997882427234e-06,0.2199980822399938,3.125,0.2267550617600062
2025-01-09,8.083730657159495e-05,1.92817174611377e-06,0.27328385128000693,3.125,0.2266907367199931
2025-01-10,8.038856236117721e-05,1.9287638089844904e-06,0.27310695742000013,3.125,0.22686763057999987
2025-01-11,7.950578413828247e-05,1.928776457508862e-06,0.2777020638000024,3.125,0.2131108801999976
2025-01-12,7.84385794193582e-05,1.928145721541051e-06,0.27753635909999735,3.125,0.21327658490000265
2025-01-13,7.866137359913299e-05,1.9291038888033654e-06,0.27763893819999674,3.125,0.21317400580000329
2025-01-14,7.805349299414116e-05,1.930680089784347e-06,0.2775600312000022,3.125,0.21325291279999783
2025-01-15,7.710165086445144e-05,1.9285889787311352e-06,0.28584480540000545,3.125,0.20338999859999454
2025-01-16,7.673890832918344e-05,1.9286856894222005e-06,0.2860808525999999,3.125,0.20315395140000012
2025-01-17,7.683466732906312e-05,1.929310078715851e-06,0.2858595583499951,3.125,0.20337524565000495
2025-01-18,7.649509520845434e-05,1.9283115472694724e-06,0.2861103585000059,3.125,0.20312444549999412
2025-01-19,7.593485992246728e-05,1.9294425994685542e-06,0.28653819404999914,3.125,0.20269660995000086
2025-01-20,7.593893333862839e-05,1.9278104391706406e-06,0.2865972058499977,3.125,0.20263759815000226
2025-01-21,7.569639865209135e-05,1.9299952136118704e-06,0.28622838210000306,3.125,0.2030064218999969
2025-01-22,7.521707355642237e-05,1.9289237878353577e-06,0.28639066454999595,3.125,0.2028441394500041
2025-01-23,7.446306338003718e-05,1.9289542984431796e-06,0.2865529470000021,3.125,0.20268185699999786
2025-01-24,7.360578750267163e-05,1.9289810890409955e-06,0.2872610885999988,3.125,0.2019737154000012
2025-01-25,7.251913701099874e-05,1.928656675196472e-06,0.287379112199996,3.125,0.20185569180000398
2025-01-26,7.122975955937933e-05,1.9292974231917754e-06,0.28739386514999904,3.125,0.20184093885000098
2025-01-27,7.091600113400521e-05,1.929893157255028e-06,0.28740861810000207,3.125,0.20182618589999796
2025-01-28,7.099734280019776e-05,1.928287749896451e-06,0.28670047650000535,3.125,0.20253432749999464
2025-01-29,6.981479958964576e-05,1.9290815604109252e-06,0.27983640634999885,3.125,0.19196817365000118
2025-01-30,6.945628530138104e-05,1.928431286714921e-06,0.27572940790000267,3.125,0.19749479209999732
2025-01-31,6.838561651575421e-05,1.9283472444303547e-06,0.2758216832000021,3.125,0.19740251679999787
2025-02-01,6.6993959850518e-05,1.9277056408908003e-06,0.2760488224000032,3.125,0.1971753775999968
2025-02-02,6.523257954503807e-05,1.9289490892466877e-06,0.07091101849999822,3.125,0.1971682795000018
2025-02-03,6.519402970538294e-05,1.9278193586993232e-06,0.06055643332000014,3.125,0.21540885667999987
2025-02-04,6.453764024434464e-05,1.92871172857317e-06,0.06055199222,3.125,0.21541329777999998
2025-02-05,6.178083213551807e-05,1.9298849634171008e-06,0.061262341360000326,3.125,0.21455566663999967
2025-02-06,5.986125133034277e-05,1.928731816398618e-06,0.06125761752999935,3.125,0.21456039047000064
2025-02-07,5.90370017814237e-05,1.9271134846297283e-06,0.06122455071999979,3.125,0.2145934572800002
2025-02-08,5.8934675272061536e-05,1.929172365763364e-06,0.00921506464999502,3.125,0.20953291535000498
2025-02-09,6.0880584768334836e-05,1.929240847584957e-06,0.009089875520000562,3.125,0.20965810447999944
2025-02-10,6.413472566730201e-05,1.9291760874765605e-06,0.009112637180005207,3.125,0.2096353428199948
